Id,Snow Depth [cm]
0,3.583
1,6.769
2,0.064
3,-0.048
4,7.584
5,-0.224
6,0.396
7,3.594
8,5.614
9,1.283
10,0.506
11,0.776
12,1.568
13,2.372
14,3.589
15,0.175
16,1.435
17,3.026
18,9.353
19,0.574
20,0.188
21,0.498
22,2.879
23,0.847
24,1.628
25,1.727
26,0.129
27,0.186
28,3.311
29,0.721
30,1.520
31,1.067
32,0.992
33,1.694
34,0.802
35,2.569
36,1.726
37,2.980
38,1.782
39,6.384
40,0.901
41,0.168
42,1.695
43,2.039
44,-0.431
45,2.315
46,2.138
47,0.391
48,2.547
49,2.521
50,-0.628
51,2.645
52,5.262
53,-1.279
54,6.690
55,3.488
56,-0.310
57,3.323
58,-1.133
59,2.139
60,3.340
61,0.513
62,-0.645
63,-0.458
64,3.651
65,0.131
66,1.951
67,0.704
68,0.949
69,-0.047
70,0.635
71,5.491
72,0.100
73,4.453
74,10.857
75,-1.105
76,8.952
77,1.291
78,3.517
79,-1.451
80,1.042
81,-0.162
82,1.070
83,-1.648
84,1.292
85,1.856
86,6.131
87,1.786
88,1.501
89,0.926
90,0.742
91,1.536
92,1.408
93,0.780
94,2.829
95,2.954
96,1.123
97,3.261
98,0.158
99,0.445
100,3.863
101,-0.327
102,1.278
103,1.721
104,3.667
105,0.277
106,5.227
107,3.655
108,-0.803
109,-1.488
110,5.392
111,9.695
112,0.054
113,6.200
114,-0.349
115,1.481
116,0.302
117,-0.008
118,1.194
119,2.591
120,1.927
121,-0.624
122,-0.287
123,0.543
124,7.242
125,-0.685
126,1.776
127,3.989
128,-0.482
129,-0.324
130,-0.690
131,2.735
132,2.298
133,0.837
134,0.252
135,6.103
136,1.865
137,2.747
138,-0.079
139,0.370
140,1.950
141,2.209
142,0.246
143,2.991
144,5.089
145,0.935
146,0.010
147,-1.250
148,0.027
149,1.624
150,0.470
151,0.991
152,0.701
153,-0.091
154,3.836
155,0.225
156,3.285
157,-1.702
158,-1.138
159,2.181
160,1.368
161,-1.889
162,2.407
163,0.453
164,0.032
165,2.400
166,0.368
167,-0.356
168,-2.211
169,7.058
170,1.024
171,-0.881
172,0.825
173,1.823
174,-0.031
175,1.686
176,-0.152
177,-0.949
178,0.998
179,5.548
180,-0.967
181,1.111
182,2.314
183,-0.097
184,0.745
185,0.663
186,3.392
187,-0.596
188,0.568
189,-0.589
190,2.031
191,0.570
192,2.008
193,7.728
194,-1.051
195,2.536
196,6.629
197,2.350
198,1.066
199,-1.380
200,-1.917
201,3.075
202,5.516
203,1.875
204,1.987
205,1.835
206,-0.243
207,-0.331
208,0.819
209,0.927
210,0.833
211,0.801
212,-1.548
213,0.379
214,0.683
215,-1.581
216,4.696
217,0.025
218,0.515
219,1.079
220,0.134
221,3.549
222,0.276
223,0.959
224,0.624
225,4.182
226,4.747
227,3.224
228,0.658
229,1.744
230,3.631
231,0.812
232,0.674
233,2.992
234,1.175
235,0.573
236,0.543
237,2.277
238,-1.167
239,-1.242
240,3.079
241,5.234
242,2.001
243,-0.443
244,-0.243
245,-0.452
246,1.505
247,7.619
248,0.096
249,2.436
250,1.805
251,0.727
252,5.072
253,1.024
254,0.945
255,0.911
256,-0.041
257,0.569
258,3.295
259,7.801
260,0.532
261,-1.068
262,2.262
263,2.014
264,1.315
265,3.016
266,2.748
267,1.006
268,0.664
269,3.491
270,4.229
271,0.221
272,0.465
273,1.080
274,-1.242
275,0.190
276,1.168
277,1.140
278,4.962
279,6.278
280,3.289
281,1.679
282,1.386
283,1.245
284,0.661
285,0.283
286,-0.167
287,8.043
288,0.200
289,1.324
290,-0.626
291,2.204
292,-1.221
293,0.177
294,1.075
295,-0.189
296,0.498
297,-1.445
298,1.846
299,2.637
300,0.637
301,1.053
302,1.123
303,0.096
304,3.020
305,6.974
306,1.269
307,1.298
308,2.872
309,0.472
310,1.249
311,3.669
312,0.418
313,3.151
314,4.577
315,1.775
316,1.061
317,-0.676
318,1.508
319,1.373
320,5.024
321,1.119
322,-0.805
323,0.425
324,7.539
325,0.891
326,1.354
327,4.390
328,6.145
329,0.426
330,1.294
331,0.542
332,2.350
333,1.505
334,8.178
335,0.708
336,3.766
337,1.929
338,-1.304
339,-0.509
340,0.958
341,3.098
342,1.158
343,0.009
344,6.003
345,0.683
346,0.266
347,0.202
348,5.477
349,3.337
350,-0.961
351,3.010
352,-0.773
353,3.528
354,0.830
355,1.209
356,-0.358
357,2.190
358,4.128
359,0.488
360,2.396
361,0.364
362,1.490
363,0.033
364,3.233
365,1.345
366,-1.127
367,1.142
368,-0.373
369,-0.351
370,3.062
371,0.578
372,1.040
373,2.635
374,1.823
375,0.836
376,1.223
377,3.279
378,-0.296
379,2.570
380,2.480
381,-0.274
382,1.506
383,1.424
384,6.786
385,3.312
386,4.876
387,2.053
388,2.405
389,-0.691
390,-0.955
391,2.025
392,0.452
393,3.607
394,-0.126
395,0.836
396,0.566
397,3.521
398,0.520
399,0.455
400,2.682
401,3.444
402,3.720
403,2.796
404,-0.017
405,-0.089
406,-0.557
407,-0.228
408,0.303
409,0.578
410,1.613
411,4.106
412,0.630
413,-0.679
414,0.784
415,3.875
416,-1.767
417,1.674
418,0.704
419,1.897
420,2.280
421,1.158
422,1.909
423,4.913
424,-0.439
425,-0.183
426,3.511
427,0.202
428,-0.870
429,1.822
430,5.308
431,0.816
432,1.731
433,3.469
434,0.458
435,0.169
436,-0.925
437,-1.131
438,1.584
439,0.745
440,0.796
441,-0.314
442,0.752
443,-0.330
444,7.711
445,0.665
446,2.353
447,0.520
448,0.463
449,-1.792
450,0.688
451,0.312
452,0.432
453,0.853
454,4.385
455,2.288
456,6.307
457,3.307
458,1.014
459,0.612
460,0.561
461,2.819
462,3.486
463,2.557
464,1.352
465,0.614
466,0.565
467,3.999
468,1.774
469,1.380
470,3.621
471,0.091
472,1.186
473,1.009
474,9.146
475,10.668
476,2.357
477,2.620
478,0.136
479,1.984
480,-0.582
