Id,Snow Depth [cm]
0,2.698
1,2.618
2,0.694
3,-0.256
4,6.980
5,0.745
6,2.141
7,3.357
8,6.229
9,4.202
10,-0.346
11,1.990
12,1.590
13,1.828
14,2.710
15,0.041
16,1.281
17,2.245
18,8.073
19,2.706
20,0.383
21,-0.533
22,3.805
23,2.235
24,0.401
25,3.134
26,2.138
27,0.011
28,2.682
29,-0.217
30,1.642
31,2.304
32,1.944
33,1.545
34,0.747
35,2.069
36,2.520
37,3.678
38,1.834
39,1.835
40,0.144
41,-0.050
42,1.169
43,2.032
44,-0.229
45,1.538
46,1.422
47,0.937
48,2.214
49,1.789
50,1.034
51,1.400
52,5.367
53,-0.808
54,3.961
55,2.899
56,-0.169
57,1.892
58,0.344
59,0.513
60,3.711
61,0.602
62,0.200
63,1.722
64,2.025
65,2.097
66,1.036
67,0.985
68,0.867
69,-0.565
70,2.625
71,4.242
72,-0.936
73,2.775
74,10.418
75,-1.551
76,8.610
77,1.895
78,2.567
79,-1.337
80,0.680
81,1.999
82,1.208
83,-1.698
84,0.060
85,1.550
86,6.138
87,2.227
88,1.550
89,-0.204
90,0.705
91,1.975
92,1.192
93,1.146
94,0.237
95,2.773
96,0.926
97,3.659
98,0.001
99,0.178
100,3.024
101,0.864
102,0.066
103,1.869
104,3.473
105,1.294
106,4.080
107,2.911
108,-0.429
109,-1.252
110,4.465
111,10.027
112,-0.214
113,4.657
114,-0.300
115,2.110
116,0.590
117,1.819
118,0.871
119,1.814
120,2.152
121,-1.846
122,-0.786
123,0.945
124,6.931
125,-0.487
126,1.626
127,2.298
128,0.376
129,0.067
130,-0.559
131,1.976
132,1.965
133,1.252
134,-0.655
135,5.142
136,3.159
137,3.839
138,-0.116
139,0.784
140,1.658
141,2.110
142,1.153
143,2.080
144,4.926
145,1.861
146,0.363
147,0.794
148,1.223
149,1.278
150,0.281
151,-0.060
152,-1.016
153,0.315
154,3.000
155,1.148
156,1.717
157,1.050
158,-1.332
159,1.619
160,4.152
161,0.432
162,2.049
163,-0.043
164,0.146
165,2.009
166,1.187
167,0.520
168,-1.077
169,4.865
170,1.337
171,1.351
172,2.646
173,2.064
174,1.401
175,1.774
176,-0.691
177,-0.232
178,-0.137
179,2.801
180,-1.760
181,1.139
182,2.219
183,0.813
184,-0.012
185,0.873
186,2.109
187,-0.608
188,-0.294
189,0.435
190,1.530
191,-0.536
192,1.545
193,8.230
194,1.869
195,2.558
196,5.560
197,1.925
198,1.210
199,1.245
200,1.420
201,1.726
202,4.919
203,1.633
204,3.784
205,2.007
206,0.870
207,-0.562
208,1.440
209,0.780
210,0.191
211,0.432
212,1.397
213,2.570
214,1.507
215,-1.735
216,4.906
217,1.129
218,-0.062
219,0.534
220,4.824
221,2.348
222,1.757
223,1.247
224,-0.253
225,2.235
226,2.607
227,0.726
228,-0.103
229,2.817
230,2.751
231,1.517
232,0.089
233,2.927
234,2.462
235,0.121
236,-0.565
237,1.331
238,1.367
239,0.095
240,1.840
241,2.923
242,1.478
243,-0.706
244,-0.048
245,-0.556
246,2.276
247,6.923
248,2.666
249,3.218
250,1.736
251,1.122
252,5.486
253,2.520
254,1.165
255,0.646
256,2.307
257,2.346
258,3.293
259,4.178
260,0.491
261,-1.156
262,4.325
263,1.802
264,1.097
265,3.802
266,2.594
267,0.897
268,0.444
269,3.880
270,4.627
271,0.679
272,-0.773
273,1.441
274,1.726
275,2.474
276,0.799
277,1.269
278,4.916
279,3.491
280,2.662
281,1.793
282,0.669
283,1.655
284,1.035
285,-0.644
286,0.205
287,7.796
288,0.718
289,1.911
290,0.599
291,2.301
292,1.400
293,0.966
294,0.804
295,1.557
296,-0.332
297,-1.559
298,1.860
299,2.816
300,0.125
301,2.066
302,0.758
303,0.908
304,0.807
305,8.428
306,2.157
307,1.639
308,3.295
309,0.886
310,1.589
311,3.579
312,0.611
313,2.360
314,3.971
315,2.256
316,0.990
317,-1.460
318,1.539
319,1.286
320,4.972
321,2.037
322,0.639
323,1.447
324,6.232
325,0.757
326,1.544
327,2.412
328,5.197
329,0.731
330,2.121
331,-0.383
332,1.705
333,1.002
334,6.017
335,0.339
336,3.013
337,2.501
338,-1.269
339,1.358
340,-0.054
341,2.439
342,0.306
343,1.039
344,3.353
345,1.154
346,0.018
347,0.012
348,5.189
349,3.864
350,1.405
351,2.729
352,0.823
353,3.054
354,-0.544
355,1.603
356,-1.290
357,1.068
358,2.887
359,0.602
360,1.986
361,1.047
362,1.964
363,1.176
364,0.573
365,2.424
366,1.998
367,0.061
368,0.660
369,1.556
370,2.275
371,0.541
372,2.846
373,1.553
374,2.036
375,-0.129
376,1.481
377,3.751
378,-0.067
379,0.988
380,3.098
381,0.603
382,2.124
383,1.112
384,6.480
385,2.239
386,2.578
387,1.454
388,2.268
389,-0.327
390,0.425
391,1.372
392,1.319
393,2.794
394,0.806
395,1.574
396,0.908
397,3.311
398,-0.247
399,2.404
400,3.226
401,3.279
402,6.020
403,2.809
404,0.409
405,3.400
406,2.578
407,2.356
408,2.425
409,3.141
410,3.988
411,2.279
412,-0.096
413,1.027
414,0.988
415,3.662
416,-1.332
417,1.216
418,0.584
419,1.230
420,4.888
421,1.719
422,3.323
423,0.416
424,-0.833
425,-0.604
426,1.955
427,-0.723
428,-0.599
429,0.945
430,3.416
431,1.151
432,1.838
433,3.958
434,-0.738
435,0.003
436,0.568
437,2.712
438,2.637
439,0.176
440,0.943
441,-0.941
442,1.837
443,1.107
444,6.983
445,1.546
446,1.868
447,1.247
448,1.620
449,-0.771
450,0.713
451,1.404
452,-0.087
453,0.789
454,2.915
455,0.766
456,5.069
457,4.222
458,2.536
459,0.587
460,0.601
461,3.451
462,3.412
463,2.793
464,1.372
465,0.884
466,0.298
467,3.204
468,1.965
469,0.875
470,2.855
471,-0.304
472,0.999
473,1.290
474,8.677
475,9.578
476,2.265
477,2.676
478,0.164
479,2.202
480,-0.495
481,-0.307
482,-0.509
483,1.464
484,-0.368
485,3.889
486,6.181
487,1.111
488,-0.143
489,2.563
490,0.148
491,0.132
492,1.865
493,0.920
494,4.265
495,3.514
496,4.773
497,0.325
498,0.853
499,2.002
500,5.032
501,1.421
502,3.553
503,1.660
504,4.477
505,1.091
506,7.862
507,2.006
508,4.748
509,-1.191
510,1.883
511,1.112
512,1.029
513,-0.133
514,3.026
515,0.571
516,1.014
517,1.600
518,0.901
519,2.663
520,2.947
521,-0.287
522,7.315
523,0.343
524,1.160
525,4.384
526,4.289
527,2.140
528,-0.237
529,0.600
530,1.153
531,1.559
532,1.561
533,0.674
534,3.381
535,0.949
536,2.199
537,0.798
538,0.535
539,0.939
540,1.829
