Id,Snow Depth [cm]
0,0.067
1,8.165
2,0.437
3,0.320
4,3.165
5,0.061
6,0.518
7,2.617
8,12.210
9,0.453
10,1.576
11,0.576
12,0.746
13,0.062
14,0.036
15,0.313
16,0.500
17,0.069
18,6.646
19,0.526
20,0.837
21,1.041
22,0.815
23,0.576
24,0.994
25,0.062
26,0.520
27,0.526
28,-0.044
29,1.097
30,0.045
31,0.555
32,0.532
33,0.061
34,0.345
35,1.021
36,0.698
37,2.377
38,7.216
39,5.107
40,0.430
41,0.295
42,0.705
43,0.063
44,0.316
45,0.069
46,0.749
47,0.508
48,0.821
49,1.350
50,0.498
51,4.126
52,3.520
53,0.284
54,7.641
55,0.061
56,0.389
57,2.331
58,0.711
59,2.539
60,1.486
61,0.459
62,0.446
63,0.520
64,3.624
65,0.558
66,0.598
67,0.466
68,0.330
69,0.467
70,0.523
71,4.038
72,0.389
73,2.035
74,9.090
75,0.431
76,5.162
77,1.129
78,2.717
79,0.289
80,0.488
81,0.634
82,0.729
83,0.474
84,0.480
85,0.854
86,14.985
87,0.060
88,0.600
89,0.467
90,0.470
91,0.436
92,0.070
93,0.477
94,2.672
95,0.015
96,0.459
97,1.526
98,0.525
99,0.294
100,0.059
101,0.425
102,1.388
103,0.694
104,2.288
105,0.486
106,3.355
107,2.100
108,0.437
109,0.375
110,2.144
111,4.489
112,0.292
113,5.532
114,0.376
115,0.588
116,0.450
117,0.484
118,0.473
119,0.776
120,0.525
121,0.696
122,0.322
123,0.449
124,2.939
125,0.494
126,0.064
127,1.927
128,0.418
129,0.367
130,0.404
131,0.152
132,0.766
133,0.476
134,0.561
135,14.631
136,0.705
137,0.832
138,0.687
139,0.385
140,0.057
141,2.881
142,0.061
143,0.500
144,3.339
145,0.500
146,0.329
147,0.519
148,0.580
149,0.515
150,0.420
151,1.431
152,1.138
153,0.339
154,4.667
155,0.400
156,2.394
157,0.484
158,0.275
159,1.429
160,0.489
161,0.502
162,1.651
163,1.145
164,0.346
165,0.831
166,0.419
167,0.444
168,0.671
169,15.715
170,0.452
171,0.487
172,0.536
173,0.921
