Id,Snow Depth [cm]
0,0.211
1,9.583
2,0.384
3,0.569
4,3.269
5,0.188
6,0.423
7,2.356
8,16.906
9,1.025
10,1.411
11,0.499
12,0.924
13,0.207
14,0.188
15,0.479
16,0.476
17,0.188
18,4.954
19,0.452
20,0.934
21,0.849
22,1.042
23,0.420
24,1.125
25,0.188
26,0.444
27,0.680
28,0.187
29,1.363
30,0.188
31,0.421
32,0.673
33,0.190
34,0.452
35,1.070
36,1.075
37,2.599
38,4.251
39,8.171
40,0.912
41,0.503
42,0.458
43,0.192
44,0.428
45,0.189
46,1.241
47,0.443
48,0.747
49,1.271
50,0.509
51,5.942
52,3.564
53,0.502
54,6.550
55,0.187
56,0.416
57,3.200
58,0.798
59,2.213
60,1.627
61,0.360
62,0.364
63,0.363
64,5.122
65,0.488
66,0.938
67,0.378
68,0.536
69,0.478
70,0.487
71,4.335
72,0.358
73,1.588
74,10.441
75,0.480
76,4.120
77,0.769
78,3.782
79,0.381
80,0.364
81,0.387
82,0.549
83,0.624
84,0.386
85,0.570
86,15.608
87,0.187
88,0.454
89,0.378
90,0.368
91,0.653
92,0.188
93,0.441
94,3.253
95,0.200
96,0.726
97,1.686
98,0.653
99,0.491
100,0.188
101,0.381
102,1.528
103,0.731
104,2.627
105,0.387
106,2.226
107,3.179
108,0.600
109,0.355
110,3.095
111,4.547
112,0.468
113,4.060
114,0.375
115,0.385
116,0.850
117,0.466
118,0.414
119,0.521
120,0.899
121,0.810
122,0.463
123,0.556
124,3.533
125,0.504
126,0.187
127,1.381
128,0.361
129,0.433
130,0.389
131,0.223
132,1.142
133,0.585
134,0.719
135,17.087
136,0.980
137,1.199
138,0.544
139,0.492
140,0.191
141,3.547
142,0.188
143,0.283
144,3.461
145,0.376
146,0.505
147,0.356
148,0.424
149,0.383
150,0.544
151,1.231
152,1.615
153,0.411
154,8.281
155,0.510
156,3.030
157,0.398
158,0.489
159,1.496
160,0.832
161,0.363
162,2.165
163,1.104
164,0.490
165,1.398
166,0.370
167,0.361
168,0.834
169,14.429
170,0.448
171,0.565
172,0.591
173,0.799
174,0.396
175,1.494
176,1.184
177,0.392
178,1.213
179,6.749
180,0.843
181,0.735
182,0.395
183,0.361
184,0.365
185,0.446
186,12.256
187,0.380
188,0.365
189,0.476
190,0.446
191,0.997
192,1.847
193,4.544
194,0.408
195,1.356
196,18.264
197,1.787
198,0.673
199,0.389
200,0.451
201,5.851
202,3.948
203,2.145
204,0.795
205,1.153
206,0.367
207,0.495
208,0.560
209,0.371
210,0.412
211,0.623
212,0.446
213,0.541
214,0.464
215,0.465
216,2.604
217,0.188
218,1.065
219,2.531
220,0.381
221,8.950
222,0.502
223,0.478
224,0.380
225,2.270
226,10.076
227,2.599
228,0.372
229,0.916
230,1.989
231,0.343
232,0.717
233,1.313
234,0.366
235,0.452
236,0.867
237,1.154
238,0.363
239,0.353
240,5.620
241,8.943
242,0.193
243,0.720
244,0.376
245,0.527
246,0.626
247,3.946
248,0.445
249,1.069
250,0.522
251,0.665
252,2.663
253,0.412
254,0.599
255,0.409
256,0.401
257,0.409
258,2.201
259,9.700
260,1.578
261,0.371
262,0.518
263,1.766
264,0.379
265,1.099
266,1.800
267,0.388
268,0.873
269,1.761
270,2.315
271,0.379
272,0.371
273,0.725
274,0.467
275,0.384
276,0.390
277,0.474
278,2.303
279,7.501
280,2.792
281,0.198
282,0.401
283,0.410
284,0.380
285,0.838
286,0.614
287,4.001
288,0.361
289,0.441
290,0.366
291,0.198
292,0.366
293,0.385
294,0.358
295,0.385
296,0.379
297,1.086
298,1.565
299,2.951
300,0.373
301,0.436
302,0.361
303,0.459
304,2.112
305,2.645
306,0.426
307,2.536
308,0.188
309,0.382
310,0.476
311,0.188
312,0.438
313,1.559
314,2.433
315,0.754
316,0.441
317,0.474
318,0.517
319,0.779
320,3.102
321,0.564
322,0.407
323,0.403
324,12.065
325,0.451
326,0.616
327,2.079
328,16.742
329,0.406
330,0.199
331,0.740
332,0.240
333,0.831
334,4.997
335,0.380
336,1.257
337,1.100
338,0.357
339,0.430
340,0.682
341,1.366
342,0.364
343,0.613
344,7.508
345,0.412
346,0.575
347,0.535
348,3.964
349,1.693
350,0.382
351,1.481
352,0.370
353,0.188
354,0.357
355,0.754
356,0.956
357,1.375
358,9.450
359,0.402
360,1.931
361,0.402
362,2.321
363,0.368
364,3.016
365,0.455
366,0.375
367,0.362
368,0.428
369,0.406
370,0.188
371,1.390
372,0.416
373,3.511
374,0.693
375,0.359
376,0.909
377,1.648
378,0.510
379,1.230
380,0.985
381,0.371
382,0.572
383,0.653
384,16.822
385,1.382
386,11.210
387,0.365
388,1.072
389,0.473
390,0.432
391,1.335
392,0.455
393,5.632
394,0.188
395,0.468
396,0.471
397,0.813
398,0.782
399,0.400
400,1.009
401,3.251
402,1.476
403,1.572
404,0.427
405,0.524
406,0.407
407,0.470
408,0.472
409,0.381
410,0.767
411,1.731
412,0.356
413,0.402
414,0.563
415,0.971
416,0.457
417,2.240
418,0.428
419,1.754
420,0.505
421,0.465
422,0.373
423,6.800
424,0.351
425,0.355
426,2.621
427,0.842
428,0.370
429,3.821
430,16.123
431,0.375
432,0.844
433,1.855
434,1.284
435,0.551
436,0.479
437,0.423
438,0.880
439,1.033
440,0.376
441,1.177
442,0.497
443,0.362
444,5.707
445,0.375
446,0.222
447,0.363
448,0.386
449,0.549
450,0.473
451,0.387
452,0.393
453,0.521
454,3.829
455,0.969
456,3.554
457,1.146
458,0.502
459,1.257
460,0.419
461,0.959
462,2.431
463,0.188
464,0.370
465,0.656
466,0.514
467,5.761
468,0.814
469,0.376
470,2.791
471,0.629
472,0.363
473,0.426
474,7.570
475,6.042
476,0.560
477,1.147
478,0.452
479,0.408
480,0.540
481,0.365
482,0.365
483,0.450
484,0.507
485,0.200
486,14.217
487,0.361
488,0.384
489,1.335
490,0.585
491,0.829
492,0.465
493,0.641
494,1.735
495,1.434
496,1.730
497,0.369
498,0.959
499,0.499
500,0.708
501,1.927
502,7.299
503,7.340
504,0.666
505,0.639
506,5.436
507,0.634
508,2.940
509,0.358
510,1.037
511,0.381
512,0.381
513,0.638
514,1.557
515,0.481
516,0.437
517,0.531
518,0.379
519,2.169
520,0.632
521,0.372
522,14.093
523,0.476
524,0.370
525,0.443
526,2.812
527,3.278
528,0.367
529,0.862
530,0.396
531,0.189
532,1.736
533,0.645
534,1.095
535,0.860
536,0.368
537,0.415
538,1.286
539,0.380
540,3.262
541,0.359
542,0.693
543,1.381
544,4.781
545,0.367
546,0.392
547,0.989
548,0.189
549,2.493
550,2.059
551,0.656
552,11.341
553,0.399
554,1.183
555,13.638
556,1.139
557,0.908
558,0.358
559,0.553
560,2.273
561,0.758
562,1.271
563,0.374
564,0.193
565,3.156
566,0.388
567,10.576
568,0.862
569,2.990
570,0.456
571,0.559
572,2.025
573,0.674
574,0.192
575,4.658
576,1.677
577,0.379
578,2.492
579,4.471
580,0.384
581,0.188
582,0.367
583,0.900
584,1.001
585,0.750
586,0.399
587,0.408
588,0.399
589,0.380
590,0.428
591,0.580
592,0.564
593,1.189
594,0.449
595,1.401
596,1.100
597,3.828
598,0.356
599,2.599
600,0.541
601,0.536
602,0.470
603,0.577
604,0.619
605,0.488
606,18.345
607,1.175
608,0.188
609,0.518
610,0.362
611,1.699
612,0.687
613,0.463
614,0.369
615,0.371
616,0.432
617,0.564
618,0.643
619,0.370
620,1.869
621,0.656
622,0.375
623,0.380
624,0.662
625,1.586
626,0.384
627,0.503
628,2.950
629,0.464
630,0.517
631,0.400
632,0.454
633,14.077
634,0.360
635,0.355
636,0.389
637,3.015
638,1.530
639,0.219
640,0.476
641,1.479
642,2.782
643,0.577
644,0.435
645,0.196
646,0.458
647,0.425
648,1.542
649,0.655
650,0.574
651,0.514
652,1.269
653,0.379
654,3.920
655,0.781
656,0.360
657,0.467
658,0.188
659,0.377
660,0.191
661,0.426
662,0.705
663,0.380
664,0.367
665,0.361
666,0.511
667,5.955
668,2.726
669,0.436
670,2.086
671,0.366
672,0.557
673,0.517
674,0.953
675,3.075
676,0.629
677,1.145
678,0.441
679,0.522
680,0.355
681,0.380
682,0.779
683,0.667
684,0.533
685,2.761
686,0.395
687,0.404
688,0.475
689,0.355
690,0.366
691,0.407
692,0.408
693,1.001
694,0.353
695,1.462
696,0.960
697,0.472
698,0.423
699,0.969
700,0.189
701,0.400
702,0.364
703,0.609
704,0.857
705,3.549
706,0.935
707,1.068
708,3.445
709,0.383
710,0.367
711,0.615
712,0.560
713,0.385
714,0.372
715,0.433
716,0.477
717,6.523
718,1.213
719,1.137
720,0.603
721,4.524
722,0.574
723,0.372
724,0.370
725,2.413
726,2.373
727,0.390
728,0.552
729,3.466
730,0.570
731,0.499
732,0.990
733,0.456
734,1.742
735,0.363
736,6.269
737,1.893
738,0.442
739,0.595
740,0.315
741,0.402
742,1.080
743,6.014
744,0.405
745,3.618
746,5.734
747,0.477
748,0.529
749,0.362
750,0.413
751,0.479
752,4.556
753,0.493
754,0.383
755,2.149
756,0.358
757,0.713
758,2.083
759,0.551
760,0.446
761,0.354
762,0.188
763,0.369
764,0.454
765,0.756
766,0.660
767,0.429
768,0.366
769,0.405
770,1.275
771,0.808
772,2.032
773,0.390
774,3.461
775,0.219
776,0.376
777,1.708
778,0.941
779,0.456
780,0.484
781,0.333
782,1.382
783,1.304
784,0.651
785,0.418
786,0.357
787,0.362
788,3.688
789,0.686
790,0.193
791,0.394
792,0.475
793,0.408
794,0.448
795,2.043
796,0.523
797,0.361
798,0.731
799,0.374
800,1.416
801,0.918
802,0.188
803,0.499
