Id,Snow Depth [cm]
0,0.170
1,1.202
2,0.501
3,0.651
4,2.117
5,0.165
6,1.967
7,0.689
8,15.739
9,10.107
10,0.630
11,8.757
12,0.711
13,0.173
14,0.164
15,0.718
16,0.996
17,0.166
18,4.760
19,1.051
20,0.520
21,0.585
22,1.275
23,0.598
24,0.493
25,0.166
26,0.573
27,0.500
28,0.164
29,0.438
30,0.167
31,2.675
32,0.929
33,0.165
34,0.916
35,1.575
36,0.918
37,2.385
38,9.680
39,0.940
40,0.680
41,0.624
42,1.925
43,0.165
44,0.491
45,0.166
46,0.583
47,0.558
48,0.327
49,0.748
50,0.539
51,3.885
52,4.666
53,0.406
54,2.258
55,0.164
56,0.561
57,1.750
58,0.747
59,0.693
60,1.287
61,0.855
62,0.630
63,0.705
64,0.873
65,0.524
66,0.405
67,0.531
68,0.464
69,0.608
70,0.932
71,1.213
72,0.580
73,0.964
74,10.743
75,0.449
76,8.418
77,1.044
78,1.635
79,0.427
80,0.626
81,0.893
82,1.950
83,0.464
84,0.755
85,2.716
86,15.801
87,0.165
88,0.988
89,0.772
90,0.483
91,0.613
92,0.167
93,0.720
94,0.915
95,0.173
96,0.886
97,1.471
98,0.482
99,0.555
100,0.165
101,0.542
102,0.617
103,1.003
104,2.078
105,0.885
106,1.611
107,3.101
108,0.618
109,0.465
110,1.966
111,4.049
112,0.527
113,2.565
114,0.470
115,0.687
116,0.656
117,0.750
118,0.684
119,3.162
120,0.797
121,0.456
122,0.458
123,0.515
124,1.959
125,0.482
126,0.165
127,0.765
128,0.491
129,0.518
130,0.451
131,0.176
132,1.096
133,0.822
134,0.453
135,17.908
136,1.591
137,1.678
138,0.542
139,0.486
140,0.165
141,3.972
142,0.166
143,0.205
144,4.550
145,0.768
146,0.482
147,0.518
148,0.665
149,0.810
150,0.669
151,0.498
152,0.461
153,0.360
154,6.259
155,0.701
156,1.000
157,0.699
158,0.501
159,0.557
160,7.029
161,0.620
162,1.076
163,0.601
164,0.494
165,0.787
166,0.572
167,0.486
168,0.455
169,8.816
170,0.549
171,0.838
172,1.045
173,1.098
174,0.572
175,1.136
176,0.741
177,0.487
178,0.563
179,13.045
180,0.422
181,1.020
182,0.657
183,0.562
184,0.696
185,6.805
186,3.559
187,0.415
188,0.663
189,0.724
190,0.984
191,0.440
192,3.653
193,8.617
194,0.661
195,0.797
196,18.067
197,1.910
198,0.693
199,0.728
200,0.635
201,2.990
202,3.804
203,3.300
204,1.230
205,0.675
206,0.516
207,0.656
208,0.580
209,0.792
210,0.778
211,0.741
212,0.529
213,1.014
214,0.617
215,0.433
216,0.940
217,0.165
218,0.671
219,0.601
220,1.904
221,15.816
222,0.558
223,0.995
224,0.561
225,3.739
226,10.665
227,0.829
228,0.665
229,1.087
230,2.187
231,2.705
232,0.547
233,1.722
234,0.945
235,0.769
236,0.600
237,1.061
238,0.646
239,0.602
240,13.827
