Id,Snow Depth [cm]
0,3.888
1,7.244
2,0.150
3,0.113
4,8.467
5,-0.085
6,0.420
7,3.874
8,6.055
9,1.539
10,0.817
11,0.937
12,1.907
13,2.593
14,3.903
15,0.294
16,1.483
17,3.476
18,10.377
19,0.790
20,0.527
21,0.767
22,3.158
23,1.031
24,1.901
25,1.913
26,0.121
27,0.423
28,3.617
29,1.005
30,1.769
31,1.207
32,1.057
33,1.729
34,0.832
35,2.911
36,1.873
37,3.437
38,1.949
39,6.894
40,1.145
41,0.279
42,1.730
43,2.033
44,-0.336
45,2.537
46,2.383
47,0.547
48,2.794
49,2.754
50,-0.465
51,2.950
52,5.804
53,-1.124
54,7.054
55,3.837
56,-0.147
57,3.872
58,-1.003
59,2.512
60,3.745
61,0.476
62,-0.473
63,-0.441
64,4.040
65,0.206
66,2.409
67,0.651
68,1.102
69,0.202
70,0.781
71,6.003
72,0.127
73,4.957
74,11.805
75,-0.845
76,9.893
77,1.331
78,3.838
79,-1.336
80,1.115
81,-0.058
82,1.284
83,-1.430
84,1.336
85,2.055
86,6.605
87,1.755
88,1.526
89,1.021
90,0.718
91,1.732
92,1.618
93,0.989
94,3.252
95,3.344
96,1.225
97,3.690
98,0.360
99,0.611
100,4.345
101,-0.267
102,1.560
103,1.981
104,4.368
105,0.289
106,5.717
107,3.991
108,-0.695
109,-1.410
110,5.936
111,10.658
112,0.216
113,6.711
114,-0.140
115,1.578
116,0.435
117,0.027
118,1.332
119,2.584
120,2.081
121,-0.236
122,-0.121
123,0.634
124,8.080
125,-0.512
126,1.950
127,4.611
128,-0.463
129,-0.112
130,-0.601
131,3.007
132,2.484
133,0.956
134,0.533
135,6.537
136,2.136
137,3.127
138,0.230
139,0.450
140,2.041
141,2.551
142,0.515
143,3.454
144,5.670
145,0.980
146,0.217
147,-1.195
148,0.030
149,1.632
150,0.588
151,1.304
152,1.035
153,0.156
154,4.186
155,0.290
156,3.686
157,-1.634
158,-0.971
159,2.547
160,1.634
161,-1.980
162,2.568
163,0.754
164,0.178
165,2.630
166,0.350
167,-0.392
168,-2.061
169,7.702
170,1.152
171,-0.754
172,0.967
173,2.163
174,0.153
175,1.942
176,0.151
177,-0.915
178,1.366
179,6.000
180,-0.683
181,1.211
182,2.395
183,-0.145
184,0.776
185,0.733
186,3.839
187,-0.559
188,0.628
189,-0.475
190,2.061
191,0.858
192,2.210
193,8.578
194,-0.891
195,2.871
196,7.214
197,2.631
198,1.241
199,-1.376
200,-1.847
201,3.338
202,6.155
203,2.100
204,2.268
205,2.194
206,-0.169
207,-0.199
208,1.152
209,0.939
210,0.838
211,0.918
212,-1.498
213,0.376
214,0.783
215,-1.376
216,5.189
217,0.130
218,0.713
219,1.481
220,0.274
221,3.902
222,0.455
223,1.054
224,0.672
225,4.532
226,5.142
227,3.613
228,0.685
229,2.096
230,4.100
231,0.856
232,0.948
233,3.426
234,1.382
235,0.619
236,0.823
237,2.586
238,-1.122
239,-1.124
240,3.341
241,5.686
242,2.351
243,-0.256
244,-0.098
245,-0.300
246,1.806
247,8.556
248,0.069
249,2.573
250,1.863
251,0.843
252,5.604
253,1.118
254,1.085
255,0.953
256,-0.077
257,0.536
258,3.618
259,8.266
260,0.735
261,-1.026
262,2.460
263,2.333
264,1.375
265,3.403
266,2.887
267,1.032
268,0.841
269,3.879
270,4.595
271,0.210
272,0.476
273,1.296
274,-1.133
275,0.183
276,1.383
277,1.189
278,5.833
279,6.843
280,3.728
281,1.781
282,1.349
283,1.244
284,0.675
285,0.520
286,-0.071
287,8.948
288,0.377
289,1.536
290,-0.478
291,2.405
292,-1.147
293,0.177
294,1.184
295,-0.173
296,0.492
297,-1.142
298,1.950
299,2.963
300,0.643
301,1.020
302,1.209
303,0.254
304,3.460
305,7.640
306,1.418
307,1.507
308,3.132
309,0.447
310,1.397
311,4.085
312,0.559
313,3.425
314,5.204
315,2.104
316,1.170
317,-0.388
318,1.582
319,1.566
320,5.404
321,1.297
322,-0.794
323,0.391
324,8.321
325,1.016
326,1.515
327,4.868
328,6.623
329,0.556
330,1.341
331,0.780
332,2.569
333,1.654
334,9.147
335,0.711
336,4.223
337,2.143
338,-1.132
339,-0.497
340,1.217
341,3.379
342,1.215
343,0.143
344,6.405
345,0.737
346,0.605
347,0.374
348,6.189
349,3.661
350,-0.868
351,3.276
352,-0.808
353,3.885
354,0.845
355,1.436
356,-0.047
357,2.654
358,4.487
359,0.542
360,2.796
361,0.475
362,1.641
363,0.010
364,3.658
365,1.443
366,-1.074
367,1.232
368,-0.260
369,-0.219
370,3.366
371,0.818
372,1.310
373,2.949
374,2.006
375,0.894
376,1.419
377,3.635
378,0.075
379,2.921
380,2.639
381,-0.213
382,1.738
383,1.568
384,7.362
385,3.740
386,5.281
387,2.169
388,2.668
389,-0.537
390,-0.818
391,2.259
392,0.566
393,3.973
394,0.007
395,0.922
396,0.554
397,3.828
398,0.931
399,0.496
400,2.905
401,3.680
402,4.133
403,3.192
404,0.160
405,0.012
406,-0.410
407,-0.144
408,0.367
409,0.749
410,1.968
411,4.684
412,0.748
413,-0.568
414,0.914
415,4.140
416,-1.607
417,1.909
418,0.736
419,2.160
420,2.514
421,1.327
422,2.026
423,5.424
424,-0.435
425,-0.056
426,3.832
427,0.463
428,-0.806
429,2.190
430,5.674
431,0.922
432,2.006
433,3.882
434,0.791
435,0.419
436,-0.727
437,-1.065
438,2.040
439,0.956
440,0.917
441,-0.002
442,0.956
443,-0.200
444,8.393
445,0.639
446,2.637
447,0.568
448,0.599
449,-1.698
450,0.816
451,0.271
452,0.459
453,0.970
454,4.782
455,2.759
456,7.093
457,3.645
458,1.078
459,0.757
460,0.583
461,3.295
462,4.105
463,2.863
464,1.533
465,0.851
466,0.715
467,4.335
468,2.021
469,1.485
470,3.988
471,0.310
472,1.268
473,1.129
474,10.088
475,11.726
476,2.476
477,2.976
478,0.217
479,1.941
480,-0.484
481,1.097
482,0.520
483,1.512
484,0.232
485,4.077
486,7.536
487,1.794
488,1.009
489,3.029
490,1.288
491,0.862
492,2.753
493,-0.535
494,3.158
495,4.311
496,4.519
497,-0.491
498,2.119
499,1.264
500,2.740
501,3.247
502,3.102
503,3.425
504,3.892
505,0.480
506,7.724
507,1.879
508,6.112
509,0.177
510,2.315
511,0.427
512,0.259
513,0.010
514,3.185
515,0.648
516,1.034
517,1.302
518,2.034
519,3.126
520,0.568
521,1.154
522,8.252
523,0.641
524,-0.183
525,2.010
526,4.219
527,4.404
528,-1.360
529,1.085
530,1.009
531,1.423
532,2.559
533,1.073
534,3.042
535,0.925
536,1.019
537,-2.230
538,1.303
539,0.604
540,3.861
541,1.116
542,1.624
543,2.913
544,11.196
545,-0.533
546,0.136
547,0.656
548,2.574
549,3.207
550,2.665
551,1.466
552,4.945
553,-0.891
554,2.113
555,5.297
556,1.265
557,2.371
558,1.116
559,1.323
560,4.186
561,-1.576
562,1.027
563,0.531
564,3.948
565,3.381
566,0.750
567,6.745
568,2.109
569,5.368
570,0.786
571,0.653
572,2.022
573,0.777
574,1.298
575,6.816
576,3.419
577,0.990
578,2.561
579,6.816
580,1.138
581,0.530
582,0.883
583,2.339
584,2.200
585,1.306
586,1.109
587,0.397
588,0.545
589,0.793
590,0.622
591,-0.186
592,2.237
593,0.831
594,0.191
595,4.620
596,1.394
597,9.395
598,-1.662
599,2.559
600,0.683
601,1.479
602,0.544
603,0.220
604,0.898
605,-0.452
606,6.530
607,2.589
608,0.920
609,-0.327
610,0.115
611,2.605
612,0.796
613,0.619
614,1.466
615,0.444
616,0.425
617,1.423
618,1.300
619,-0.533
620,3.575
621,0.467
622,1.030
623,1.379
624,0.582
625,1.136
626,0.004
627,-0.169
628,5.255
629,-1.140
630,1.406
631,-0.969
632,0.491
633,8.433
634,0.880
635,0.109
636,-1.088
637,2.648
638,5.581
639,2.483
640,0.383
641,0.500
642,5.153
643,0.689
644,1.058
645,1.288
646,-0.096
647,0.773
648,4.672
649,0.998
650,1.224
651,0.200
652,2.727
653,0.633
654,5.342
