,DATE (YYYY/MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11),Cloud Type,Solar Zenith Angle,Snow Depth [cm]
0,2020/02/22,04:11,-1.12724,-0.3659679999999999,77.6676,8.21,0.3879999999999999,-12.412,19.2,1.2,300.1,817.297,0.0,0.0,0.0,0,50.16,9.46
1,2020/07/25,20:10,-1.0403,0.093816,304.73416000000003,20.14,14.855,11.955,59.29,4.45,262.4,820.184,5.334,0.0,0.0,7,57.39,1.121
2,2020/09/13,04:03,-1.2970700000000002,-0.25182,68.24852,14.08,6.56,-0.94,35.17,2.45,280.2,822.653,0.0,0.0,0.0,8,65.63,-0.05
3,2020/03/08,15:25,79.2002,-0.014836,237.11811,15.03,5.725,-4.575,24.36,3.7,23.07,809.6410000000001,0.0,0.0,0.1587,6,57.08,0.7340000000000001
4,2020/11/17,19:33,-1.61485,-0.459201,271.20406,12.66,3.18,-10.22,17.37,2.7,283.8,818.717,0.0,0.0,0.0,0,128.59,0.013
5,2020/01/03,10:05,382.731,801.357,150.3047,4.769,-1.244,-11.644,26.09,3.7,241.7,816.5239999999999,0.0,0.0,0.2246,0,85.34,0.272
6,2020/10/17,03:47,-1.60765,-0.128379,77.75313,13.72,4.5680000000000005,-6.532,22.41,3.45,293.4,812.909,0.0,0.0,0.0,0,157.6,-0.076
7,2020/05/20,18:50,36.6184,244.802,293.79446,21.45,8.121,-6.259,14.09,9.45,272.9,807.832,0.0,0.0,0.1321,0,120.27,0.794
8,2020/04/25,15:45,598.043,932.926,258.75004,17.22,6.2010000000000005,-6.599,17.8,5.7,299.9,818.935,0.0,0.0,0.2014,6,76.42,1.315
9,2020/12/08,06:17,-1.57862,-0.493768,111.43873,6.855,-1.27,-19.37,11.01,2.95,284.3,823.922,0.0,0.0,0.0,0,135.88,0.142
10,2020/04/10,21:39,-1.05637,-0.217587,317.38518,13.14,4.553999999999999,-5.446000000000001,25.56,9.7,267.7,809.1080000000001,0.0,0.0,0.0,1,77.13,0.8390000000000001
11,2020/08/23,17:51,67.8006,13.3414,276.61491,28.99,14.757,5.357,22.34,1.7,14.25,818.7139999999999,0.0,0.0,0.209,1,125.29,-0.176
12,2020/08/07,05:44,78.4991,488.886,73.9772,19.44,7.716,-4.684,18.26,3.45,292.0,817.2339999999999,0.0,0.0,0.3873,1,10.32,-0.209
13,2020/01/10,13:57,432.356,766.814,207.50121,-0.426,-4.175,-11.275,39.26,1.95,125.2,815.828,0.0,0.0,0.2361,1,88.26,0.527
